Date,Carrier,FlightNumber,DepAirport,DepCity,DepState,ArrAirport,ArrCity,ArrState,DepTime,DepDelay,ArrTIme,ArrDelay,Cancelled,CancelReason,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,ArrStatus,DepStatus,DelayCause
Dec,SkyWest,5482,ORD,"Chicago, IL",IL,CLT,"Charlotte, NC",NC,1752,0,2114,13,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Dec,SkyWest,5523,MSP,"Minneapolis, MN",MN,SFO,"San Francisco, CA",CA,2021,136,2315,156,0,NA,0,0,40,0,116,Late,Late,Late Aircraft
Dec,SkyWest,5619,ORD,"Chicago, IL",IL,BTV,"Burlington, VT",VT,0602,-3,0920,3,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Dec,SkyWest,5698,ORD,"Chicago, IL",IL,SBN,"South Bend, IN",IN,1954,-6,2159,2,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Dec,SkyWest,5801,ORD,"Chicago, IL",IL,GRR,"Grand Rapids, MI",MI,0643,13,0821,-9,0,NA,NA,NA,NA,NA,NA,On Time,Late,NA
Dec,SkyWest,5815,DTW,"Detroit, MI",MI,ORD,"Chicago, IL",IL,1423,-7,1436,-19,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,5847,STL,"St. Louis, MO",MO,ORD,"Chicago, IL",IL,1912,17,2030,7,0,NA,NA,NA,NA,NA,NA,Late,Late,NA
Dec,SkyWest,5943,ORD,"Chicago, IL",IL,COS,"Colorado Springs, CO",CO,1005,0,1203,-2,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,7416,MSP,"Minneapolis, MN",MN,RHI,"Rhinelander, WI",WI,1348,-2,1502,-8,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,7426,MSP,"Minneapolis, MN",MN,INL,"International Falls, MN",MN,0846,-6,0953,-26,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,7427,DTW,"Detroit, MI",MI,ITH,"Ithaca/Cortland, NY",NY,1002,-8,1112,-36,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,SkyWest,7434,DTW,"Detroit, MI",MI,ITH,"Ithaca/Cortland, NY",NY,1536,-4,1648,-25,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,2422,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,2058,-7,0008,-2,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,2381,ORD,"Chicago, IL",IL,SAN,"San Diego, CA",CA,1248,-2,1504,-9,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,2204,ORD,"Chicago, IL",IL,CLE,"Cleveland, OH",OH,2039,21,2312,38,0,NA,0,0,33,0,5,Late,Late,Late Aircraft
Dec,United,2176,ORD,"Chicago, IL",IL,PDX,"Portland, OR",OR,0742,-4,1003,-17,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,2166,ORD,"Chicago, IL",IL,SLC,"Salt Lake City, UT",UT,0804,-4,1021,-20,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,2149,ORD,"Chicago, IL",IL,SFO,"San Francisco, CA",CA,2223,125,0053,106,0,NA,102,0,0,0,4,Late,Late,Late Aircraft
Dec,United,2068,ORD,"Chicago, IL",IL,MCI,"Kansas City, MO",MO,2115,-3,2252,-7,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,2043,ORD,"Chicago, IL",IL,IAH,"Houston, TX",TX,0555,-5,0846,-4,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,2034,ORD,"Chicago, IL",IL,EGE,"Eagle, CO",CO,1254,-1,1442,-23,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Dec,United,1997,ORD,"Chicago, IL",IL,EWR,"Newark, NJ",NJ,1800,5,2205,59,0,NA,0,0,59,0,0,Late,Late,NA
Dec,United,1823,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,1856,-4,2236,31,0,NA,0,0,31,0,0,Late,On Time,NA
